ID,Titulo,Genero,Lançamento,Duração,Nota,MetaScore,Votos,Faturamento,Sinopse
41,O Rei Leão,"Animation, Adventure, Drama            ",1994,88,8.5,88,1087162,422.78,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
42,A Outra História Americana,"Crime, Drama            ",1998,119,8.5,62,1144556,6.72,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
43,O Pianista,"Biography, Drama, Music            ",2002,150,8.5,85,857577,32.57,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
44,Os Suspeitos,"Crime, Drama, Mystery            ",1995,106,8.5,77,1105591,23.34,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
45,Psicose,"Horror, Mystery, Thriller            ",1960,109,8.5,97,688619,32.00,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
46,Intocáveis,"Biography, Comedy, Drama            ",2011,112,8.5,57,882860,13.18,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
47,Era uma Vez no Oeste,Western,1968,165,8.5,82,337520,5.32,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
48,Túmulo dos Vagalumes,"Animation, Drama, War            ",1988,89,8.5,94,287981,#45,A young boy and his little sister struggle to survive in Japan during World War II.
49,Janela Indiscreta,"Mystery, Thriller            ",1954,112,8.5,100,502473,36.76,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
50,Cinema Paradiso,"Drama, Romance            ",1988,155,8.5,80,268859,11.99,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
51,Tempos Modernos,"Comedy, Drama, Romance            ",1936,87,8.5,96,248642,0.16,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
52,Luzes da Cidade,"Comedy, Drama, Romance            ",1931,87,8.5,99,188751,0.02,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
53,Homem-Aranha: No Aranhaverso,"Animation, Action, Adventure            ",2018,117,8.4,87,580948,190.24,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
54,Os Caçadores da Arca Perdida,"Action, Adventure            ",1981,115,8.4,85,988663,248.16,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
55,Vingadores: Ultimato,"Action, Adventure, Drama            ",2019,181,8.4,78,1183283,858.37,"After the devastating events of Vingadores: Guerra Infinita (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
56,Apocalypse Now,"Drama, Mystery, War            ",1979,147,8.4,94,682971,83.47,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
57,Django Livre,"Drama, Western            ",2012,165,8.4,81,1602099,162.81,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
58,Coringa,"Crime, Drama, Thriller            ",I 2019,122,8.4,59,1358006,335.45,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
59,Vingadores: Guerra Infinita,"Action, Adventure, Sci-Fi            ",2018,149,8.4,68,1126456,678.82,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
60,Oldboy,"Action, Drama, Mystery            ",2003,120,8.4,77,597342,0.71,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
61,O Iluminado,"Drama, Horror            ",1980,146,8.4,66,1050778,44.02,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
62,Amnésia,"Mystery, Thriller            ",2000,113,8.4,81,1265177,25.54,A man with short-term memory loss attempts to track down his wife's murderer.
